mode,leg,active,fx,fy,fz,mu_fz_minus_abs_fx,mu_fz_minus_abs_fy,achieved_Fx,achieved_Fy,achieved_Fz,achieved_Mx,achieved_My,achieved_Mz,error_Fx,error_Fy,error_Fz,error_Mx,error_My,error_Mz,wrench_error_norm,mode_pass
all_stance,FR,1,-1.1497523997435792e-07,1.0437496251213596e-07,30.686101556824898,18.4116608191197,18.411660829719978,-4.587892039257625e-07,4.1927034023549526e-07,125.01322175412035,-3.411282634147028e-07,-3.732820692547989e-07,-3.2442861591377486e-15,-4.587892039257625e-07,4.1927034023549526e-07,-3.1258796440170045e-06,-3.411282634147028e-07,-3.732820692547989e-07,-3.2442861591377486e-15,3.2269345664341215e-06,True
all_stance,FL,1,-1.1437848629379494e-07,1.0441744164398987e-07,31.118366434435583,18.671019746282862,18.671019756243908,-4.587892039257625e-07,4.1927034023549526e-07,125.01322175412035,-3.411282634147028e-07,-3.732820692547989e-07,-3.2442861591377486e-15,-4.587892039257625e-07,4.1927034023549526e-07,-3.1258796440170045e-06,-3.411282634147028e-07,-3.732820692547989e-07,-3.2442861591377486e-15,3.2269345664341215e-06,True
all_stance,RR,1,-1.1507654350985482e-07,1.052296251888445e-07,31.388129050279627,18.832877315091235,18.832877324938153,-4.587892039257625e-07,4.1927034023549526e-07,125.01322175412035,-3.411282634147028e-07,-3.732820692547989e-07,-3.2442861591377486e-15,-4.587892039257625e-07,4.1927034023549526e-07,-3.1258796440170045e-06,-3.411282634147028e-07,-3.732820692547989e-07,-3.2442861591377486e-15,3.2269345664341215e-06,True
all_stance,RL,1,-1.1435893414775484e-07,1.0524831089052493e-07,31.820624712580237,19.09237471318921,19.09237472229983,-4.587892039257625e-07,4.1927034023549526e-07,125.01322175412035,-3.411282634147028e-07,-3.732820692547989e-07,-3.2442861591377486e-15,-4.587892039257625e-07,4.1927034023549526e-07,-3.1258796440170045e-06,-3.411282634147028e-07,-3.732820692547989e-07,-3.2442861591377486e-15,3.2269345664341215e-06,True
trot_FR_RL,FR,1,-0.014810357038943005,-0.021975158574180847,61.88870126095638,37.11841039953489,37.11124559799965,-0.02991348133076374,-0.044391115968282144,125.01320875010992,0.03611764423486541,-0.024338304026404245,-1.1667473636539638e-09,-0.02991348133076374,-0.044391115968282144,-1.612989007071519e-05,0.03611764423486541,-0.024338304026404245,-1.1667473636539638e-09,0.06900887675050776,True
trot_FR_RL,FL,0,-1.3120657591234086e-14,5.947834451323198e-15,-3.0073602082209005e-12,-1.8175367825237742e-12,-1.8103639593838635e-12,-0.02991348133076374,-0.044391115968282144,125.01320875010992,0.03611764423486541,-0.024338304026404245,-1.1667473636539638e-09,-0.02991348133076374,-0.044391115968282144,-1.612989007071519e-05,0.03611764423486541,-0.024338304026404245,-1.1667473636539638e-09,0.06900887675050776,True
trot_FR_RL,RR,0,-1.3210994679407615e-14,6.111281570673453e-15,-3.0021927204222085e-12,-1.8145266269327326e-12,-1.8074269138239984e-12,-0.02991348133076374,-0.044391115968282144,125.01320875010992,0.03611764423486541,-0.024338304026404245,-1.1667473636539638e-09,-0.02991348133076374,-0.044391115968282144,-1.612989007071519e-05,0.03611764423486541,-0.024338304026404245,-1.1667473636539638e-09,0.06900887675050776,True
trot_FR_RL,RL,1,-0.015103124291794404,-0.02241595739411335,63.124507489159555,37.85960136920394,37.85228853610162,-0.02991348133076374,-0.044391115968282144,125.01320875010992,0.03611764423486541,-0.024338304026404245,-1.1667473636539638e-09,-0.02991348133076374,-0.044391115968282144,-1.612989007071519e-05,0.03611764423486541,-0.024338304026404245,-1.1667473636539638e-09,0.06900887675050776,True
trot_FL_RR,FR,0,-1.2072111334865837e-14,5.218228390643653e-15,-2.9986742752455925e-12,-1.8112766764822213e-12,-1.8044227935379991e-12,-0.12580355376546054,0.18669477674944626,125.01304390112985,-0.15189921181074098,-0.10235669680590218,2.7622371042578374e-09,-0.12580355376546054,0.18669477674944626,-0.0001809788701478965,-0.15189921181074098,-0.10235669680590218,2.7622371042578374e-09,0.29022710157501813,True
trot_FL_RR,FL,1,-0.06256652142753483,0.0928179230648825,62.15866103935223,37.232630102183805,37.202378700546454,-0.12580355376546054,0.18669477674944626,125.01304390112985,-0.15189921181074098,-0.10235669680590218,2.7622371042578374e-09,-0.12580355376546054,0.18669477674944626,-0.0001809788701478965,-0.15189921181074098,-0.10235669680590218,2.7622371042578374e-09,0.29022710157501813,True
trot_FL_RR,RR,1,-0.06323703233790122,0.09387685368455376,62.85438286178362,37.64939268473227,37.618752863385616,-0.12580355376546054,0.18669477674944626,125.01304390112985,-0.15189921181074098,-0.10235669680590218,2.7622371042578374e-09,-0.12580355376546054,0.18669477674944626,-0.0001809788701478965,-0.15189921181074098,-0.10235669680590218,2.7622371042578374e-09,0.29022710157501813,True
trot_FL_RR,RL,0,-1.2423258217709425e-14,4.815431382298656e-15,-2.9961384109517603e-12,-1.8101063047887656e-12,-1.8024984779533546e-12,-0.12580355376546054,0.18669477674944626,125.01304390112985,-0.15189921181074098,-0.10235669680590218,2.7622371042578374e-09,-0.12580355376546054,0.18669477674944626,-0.0001809788701478965,-0.15189921181074098,-0.10235669680590218,2.7622371042578374e-09,0.29022710157501813,True
