ramp_steps,transition,direct_jump_norm,direct_jump_max_abs,step_jump_norm,step_jump_max_abs,threshold_jump_norm,threshold_jump_max_abs,pass,ramp_all_pass,ramp_max_step_jump_norm,ramp_max_step_jump_abs,recommended_ramp_steps
3,trot_FR_RL->trot_FL_RR,23.730004894309,10.823012441254,7.910001631436,3.607670813751,8.0,5.0,True,True,7.910001631436,3.607670813751,3
3,trot_FL_RR->trot_FR_RL,23.730004894309,10.823012441254,7.910001631436,3.607670813751,8.0,5.0,True,True,7.910001631436,3.607670813751,3
5,trot_FR_RL->trot_FL_RR,23.730004894309,10.823012441254,4.746000978862,2.164602488251,8.0,5.0,True,True,4.746000978862,2.164602488251,3
5,trot_FL_RR->trot_FR_RL,23.730004894309,10.823012441254,4.746000978862,2.164602488251,8.0,5.0,True,True,4.746000978862,2.164602488251,3
10,trot_FR_RL->trot_FL_RR,23.730004894309,10.823012441254,2.373000489431,1.082301244125,8.0,5.0,True,True,2.373000489431,1.082301244125,3
10,trot_FL_RR->trot_FR_RL,23.730004894309,10.823012441254,2.373000489431,1.082301244125,8.0,5.0,True,True,2.373000489431,1.082301244125,3
20,trot_FR_RL->trot_FL_RR,23.730004894309,10.823012441254,1.186500244715,0.541150622063,8.0,5.0,True,True,1.186500244715,0.541150622063,3
20,trot_FL_RR->trot_FR_RL,23.730004894309,10.823012441254,1.186500244715,0.541150622063,8.0,5.0,True,True,1.186500244715,0.541150622063,3
40,trot_FR_RL->trot_FL_RR,23.730004894309,10.823012441254,0.593250122358,0.270575311031,8.0,5.0,True,True,0.593250122358,0.270575311031,3
40,trot_FL_RR->trot_FR_RL,23.730004894309,10.823012441254,0.593250122358,0.270575311031,8.0,5.0,True,True,0.593250122358,0.270575311031,3
