stance_wbc_scale,swing_target_scale,swing_pd_scale,total_steps,transition_count,trot_FR_RL_steps,trot_FL_RR_steps,initial_z,final_z,min_z,max_z,delta_z,final_roll,final_pitch,max_abs_roll,roll_margin_to_0p20,max_abs_pitch,pitch_margin_to_0p20,z_margin_to_0p22,max_joint_error,max_swing_joint_error,max_stance_joint_error,max_tau_stance_pd_abs,max_tau_stance_wbc_abs,max_tau_swing_pd_abs,max_tau_total_raw_abs,max_tau_total_abs,max_cmd_step_jump_norm,max_cmd_step_jump_abs,max_dyn_res_norm,max_stance_acc_res_norm,max_swing_acc_error_norm,qp_fail_steps,saturation_steps,pass,pass_margin,recommended
0.0,0.35,0.5,1200,5,600,600,0.284805846483,0.291232755482,0.268801927865,0.292073282166,0.006426908999,0.056633877804,-0.032160304006,0.117477086036,0.082522913964,0.032160304006,0.167839695994,0.048801927865,0.076133968290,0.045902707762,0.076133968290,8.736659414731,0.000000000000,5.464922995134,8.736659414731,8.736659414731,20.404671667465,10.921199073326,7.779845125037e-08,3.302553197628e-09,4.021295362404e-01,0,0,True,True,False
0.0,0.45,0.5,1200,5,600,600,0.284805846483,0.288663032868,0.270335899309,0.291524142944,0.003857186384,0.015144016729,-0.028592186260,0.074514896763,0.125485103237,0.034114692489,0.165885307511,0.050335899309,0.082266877625,0.055556549645,0.082266877625,8.519882489781,0.000000000000,5.181313455302,8.519882489781,8.519882489781,20.143410882608,10.762626232562,7.430620343019e-08,3.081581835946e-09,3.187335069978e-01,0,0,True,True,False
0.0,0.6,0.5,1200,5,600,600,0.284805846483,0.280785376797,0.269730490549,0.289061624397,-0.004020469686,0.011229987923,-0.007071216379,0.098318776101,0.101681223899,0.050180455539,0.149819544461,0.049730490549,0.110844991419,0.086956424284,0.110844991419,8.784097280326,0.000000000000,6.003082587601,8.784097280326,8.784097280326,20.318754820627,10.810583562055,7.930091337729e-08,3.303340973503e-09,3.439505730535e-01,0,0,False,False,False
0.0,0.35,0.75,1200,5,600,600,0.284805846483,0.288439908796,0.269450482858,0.292620999228,0.003634062313,0.031737616992,-0.036270899032,0.109192035995,0.090807964005,0.036270899032,0.163729100968,0.049450482858,0.067345652538,0.052856961160,0.067345652538,8.208191749106,0.000000000000,7.052861667131,8.208191749106,8.208191749106,22.708568341673,10.582365031615,8.011567363367e-08,3.273068898854e-09,4.618359912773e-01,0,0,True,True,False
0.0,0.45,0.75,1200,5,600,600,0.284805846483,0.285011277351,0.271152276016,0.286256291338,0.000205430868,-0.097344657400,-0.003768547277,0.098010379746,0.101989620254,0.053639806360,0.146360193640,0.051152276016,0.085554288478,0.055616108406,0.085554288478,8.687915742704,0.000000000000,7.184999262177,8.687915742704,8.687915742704,22.895907657616,11.076012111920,7.579412673990e-08,3.303733738086e-09,3.961297314019e-01,0,0,True,True,False
0.0,0.6,0.75,1200,5,600,600,0.284805846483,0.278237064466,0.271034742216,0.286216888780,-0.006568782018,-0.020067112946,0.013877191074,0.076551691876,0.123448308124,0.065647942422,0.134352057578,0.051034742216,0.112083737939,0.069465261050,0.112083737939,9.352875084507,0.000000000000,7.414400843022,9.352875084507,9.352875084507,22.665802986680,10.629683375853,8.007327879068e-08,3.190073002939e-09,3.697431438101e-01,0,0,True,True,False
0.0,0.35,1.0,1200,5,600,600,0.284805846483,0.279798502563,0.270983236716,0.287232375638,-0.005007343920,0.013755476644,-0.024055794671,0.073051847469,0.126948152531,0.049586991921,0.150413008079,0.050983236716,0.062606393964,0.039902270294,0.062606393964,8.383142208423,0.000000000000,9.128110625361,9.128110625361,9.128110625361,25.603202875038,10.833470461023,7.719281533806e-08,3.226709460137e-09,3.963571576369e-01,0,0,True,True,True
0.0,0.45,1.0,1200,5,600,600,0.284805846483,0.280311011037,0.273724933890,0.284892054297,-0.004494835446,-0.027422199755,0.001030940223,0.084052382825,0.115947617175,0.041700154989,0.158299845011,0.053724933890,0.083532035461,0.055824184203,0.083532035461,8.804550951940,0.000000000000,9.168401777310,9.168401777310,9.168401777310,25.520328122621,11.095044506337,7.296001973796e-08,3.242002922048e-09,3.823183054301e-01,0,0,True,True,False
0.0,0.6,1.0,1200,5,600,600,0.284805846483,0.280115131733,0.272215868864,0.285853674660,-0.004690714750,-0.014269371899,-0.011495357092,0.069214078555,0.130785921445,0.063332346212,0.136667653788,0.052215868864,0.099816736928,0.076218075078,0.099816736928,9.426490014053,0.000000000000,9.528040162899,9.528040162899,9.528040162899,25.652231058877,10.933091211611,8.209260259376e-08,3.248719034766e-09,2.749472317283e-01,0,0,True,True,False
0.1,0.35,0.5,1200,5,600,600,0.284805846483,0.287710853306,0.273598299707,0.292708043058,0.002905006823,0.022072542983,0.005936761581,0.091178244808,0.108821755192,0.040124758741,0.159875241259,0.053598299707,0.065298208436,0.056775379236,0.065298208436,9.549653509258,1.092267407580,5.411680687098,8.527976100205,8.527976100205,20.406671276542,10.850745128806,8.258672412848e-08,3.454430830807e-09,3.485509206521e-01,0,0,True,True,False
0.1,0.45,0.5,1200,5,600,600,0.284805846483,0.288949475087,0.274742599161,0.293176642174,0.004143628604,-0.066283739163,-0.025767140501,0.088051482121,0.111948517879,0.039431408654,0.160568591346,0.054742599161,0.091137724264,0.066615917837,0.091137724264,10.132148593443,1.090238038130,5.035665092385,9.108874920945,9.108874920945,20.422995348603,10.607967959016,7.884558572848e-08,3.697412113444e-09,4.321979760520e-01,0,0,True,True,False
0.1,0.6,0.5,1200,5,600,600,0.284805846483,0.285774833619,0.275192259716,0.287544823277,0.000968987136,0.044031404048,0.003555997130,0.082719974248,0.117280025752,0.053803544047,0.146196455953,0.055192259716,0.104318768331,0.085076370799,0.104318768331,9.733971581318,1.085670145850,5.872694629475,8.756405806747,8.756405806747,20.300690326992,10.750889824614,7.857294252613e-08,3.632689806445e-09,4.056991442014e-01,0,0,False,False,False
0.1,0.35,0.75,1200,5,600,600,0.284805846483,0.278284624639,0.273054193215,0.298548570720,-0.006521221845,0.020469303251,0.012490606908,0.133808456362,0.066191543638,0.063672494590,0.136327505410,0.053054193215,0.070708401138,0.055670871613,0.070708401138,9.976680734020,1.070330459808,6.955874216965,9.390809256743,9.390809256743,22.653662195265,10.804900611162,7.235809416759e-08,3.435887328683e-09,5.313523628979e-01,0,0,True,True,False
0.1,0.45,0.75,1200,5,600,600,0.284805846483,0.278109546995,0.274745628423,0.286363107901,-0.006696299488,-0.009720165870,0.004963416384,0.067419417468,0.132580582532,0.058598259273,0.141401740727,0.054745628423,0.085707041836,0.052012251674,0.085707041836,9.754645433295,1.075298432474,6.927642128275,8.836363818735,8.836363818735,23.805165386840,10.738851674442,7.390956135008e-08,3.194927764762e-09,4.032698523134e-01,0,0,True,True,False
0.1,0.6,0.75,1200,5,600,600,0.284805846483,0.284629011986,0.275574485737,0.286068180470,-0.000176834498,0.050621318292,0.008507324469,0.094952342354,0.105047657646,0.049984817643,0.150015182357,0.055574485737,0.109640627402,0.068699387251,0.109640627402,10.223864379576,1.083697385649,7.723514087278,9.257270218311,9.257270218311,23.093168486047,10.653170115363,8.105867965369e-08,3.451334941538e-09,4.026513236091e-01,0,0,True,True,False
0.1,0.35,1.0,1200,5,600,600,0.284805846483,0.286759704090,0.272422865895,0.290870438212,0.001953857607,0.012951331431,-0.016739432531,0.102217626402,0.097782373598,0.057894784357,0.142105215643,0.052422865895,0.070666611479,0.045290840472,0.070666611479,10.099937997011,1.063094086385,9.763754469258,9.763754469258,9.763754469258,25.955365080822,11.028422489781,7.539470230159e-08,3.348065471635e-09,4.550612265143e-01,0,0,True,True,False
0.1,0.45,1.0,1200,5,600,600,0.284805846483,0.281647590243,0.271551884998,0.291098194266,-0.003158256240,-0.018600026287,-0.006348249309,0.097205336191,0.102794663809,0.055895722032,0.144104277968,0.051551884998,0.091611241827,0.056201444404,0.091611241827,9.675324004414,1.094109497509,9.379305793807,9.379305793807,9.379305793807,25.648620324585,10.785209843587,7.979846964384e-08,3.281308662155e-09,3.833001137545e-01,0,0,True,True,False
0.1,0.6,1.0,1200,5,600,600,0.284805846483,0.280609069929,0.275284191457,0.285930520825,-0.004196776554,0.006118573664,0.000180616063,0.073838476801,0.126161523199,0.058211023798,0.141788976202,0.055284191457,0.096245200945,0.075269448456,0.096245200945,10.280323727601,1.066628631300,11.260841720022,11.260841720022,11.260841720022,26.192392674242,10.899308563090,7.382145726715e-08,3.109295808754e-09,3.302394229562e-01,0,0,True,True,False
0.2,0.35,0.5,1200,5,600,600,0.284805846483,0.286979715696,0.276621410893,0.292453990161,0.002173869212,-0.048352161632,-0.027164619537,0.088504948043,0.111495051957,0.044278060802,0.155721939198,0.056621410893,0.075775135204,0.047785662303,0.075775135204,10.992311050887,2.174140348827,4.827947198558,8.948500161828,8.948500161828,20.784345055100,10.834564144148,8.456928521291e-08,3.754523978022e-09,3.151021700098e-01,0,0,True,True,False
0.2,0.45,0.5,1200,5,600,600,0.284805846483,0.282165478118,0.277428720089,0.289684451140,-0.002640368366,-0.000407188276,0.022577682712,0.078918576204,0.121081423796,0.056161808571,0.143838191429,0.057428720089,0.096756526370,0.064241236944,0.096756526370,10.756962070249,2.123160298211,5.074585885062,8.740118585082,8.740118585082,20.284660171291,10.687051110019,7.657732741065e-08,3.051152685028e-09,3.857027582346e-01,0,0,True,True,False
0.2,0.6,0.5,1200,5,600,600,0.284805846483,0.284638644665,0.276944200371,0.291021043523,-0.000167201818,0.042660049144,0.020495915025,0.096814703515,0.103185296485,0.051414260209,0.148585739791,0.056944200371,0.112505853293,0.084008564819,0.112505853293,11.199177253061,2.129451685649,5.930774914036,9.390292982017,9.390292982017,20.580593414349,10.973257030901,7.965773850463e-08,3.371034439124e-09,4.540630395084e-01,0,0,False,False,False
0.2,0.35,0.75,1200,5,600,600,0.284805846483,0.285803175229,0.279075173935,0.292020457657,0.000997328745,-0.012629952699,-0.010056953736,0.074813279545,0.125186720455,0.047049755873,0.152950244127,0.059075173935,0.073684074390,0.073684074390,0.061010310587,10.588502293535,2.133114661265,8.023445931440,8.574269893610,8.574269893610,22.687845866727,10.710969137244,7.708651290032e-08,3.450959993920e-09,3.389240220313e-01,0,0,True,True,False
0.2,0.45,0.75,1200,5,600,600,0.284805846483,0.290530520613,0.277455985227,0.290530520613,0.005724674129,0.000591536843,0.001689950040,0.088113247576,0.111886752424,0.062129012477,0.137870987523,0.057455985227,0.076934448762,0.059132803274,0.076934448762,10.698091525432,2.174404064521,7.161542487387,8.699877690774,8.699877690774,22.830608048383,10.664917323289,8.016854345739e-08,3.429253819626e-09,3.931534998147e-01,0,0,True,True,False
0.2,0.6,0.75,1200,5,600,600,0.284805846483,0.287250792626,0.276034087396,0.292287502828,0.002444946143,-0.024283086103,-0.041909474439,0.110571311877,0.089428688123,0.072080878048,0.127919121952,0.056034087396,0.111561084815,0.085868745417,0.111561084815,10.661834654174,2.097096083611,9.014514671324,9.386816862121,9.386816862121,23.200735506085,11.019651745545,8.016978866110e-08,3.278478528479e-09,5.281188990969e-01,0,0,False,False,False
0.2,0.35,1.0,1200,5,600,600,0.284805846483,0.286644861037,0.278419161322,0.289102536841,0.001839014553,-0.015879508048,-0.009621783271,0.056707402709,0.143292597291,0.048329482530,0.151670517470,0.058419161322,0.077233662573,0.042163850217,0.077233662573,11.083222358114,2.125887056052,9.659563043535,9.659563043535,9.659563043535,25.788963931985,10.987848177937,7.732488454756e-08,3.520891005970e-09,2.545718566371e-01,0,0,True,True,False
0.2,0.45,1.0,1200,5,600,600,0.284805846483,0.282905493259,0.277301238830,0.290638616225,-0.001900353224,0.002262196722,-0.004025807658,0.081694685290,0.118305314710,0.056702978437,0.143297021563,0.057301238830,0.097955386396,0.067121123940,0.097955386396,10.991777309517,2.134017704597,10.244813620335,10.244813620335,10.244813620335,25.813752169690,11.982035765517,8.589505211842e-08,3.927488102866e-09,3.886333798485e-01,0,0,True,True,False
0.2,0.6,1.0,1200,5,600,600,0.284805846483,0.282905688939,0.276763025136,0.289855001415,-0.001900157545,-0.031347041104,-0.018789759974,0.102874896699,0.097125103301,0.065702739836,0.134297260164,0.056763025136,0.106313565696,0.074878905223,0.106313565696,10.878539990293,2.146476111905,10.967018923961,10.967018923961,10.967018923961,27.845129991804,12.202121738783,8.460849336396e-08,3.479671980841e-09,4.034475906044e-01,0,0,True,True,False
0.3,0.35,0.5,1200,5,600,600,0.284805846483,0.284244235236,0.281407000350,0.293614629105,-0.000561611247,-0.008634610630,-0.014891121159,0.093481117555,0.106518882445,0.042451729495,0.157548270505,0.061407000350,0.079853361153,0.078051602291,0.079853361153,11.683877909608,3.152609887419,5.693394953486,8.637982415273,8.637982415273,20.510155220574,10.956427710406,8.270073034697e-08,3.408333203318e-09,3.329531536318e-01,0,0,True,True,False
0.3,0.45,0.5,1200,5,600,600,0.284805846483,0.287503367543,0.278472636921,0.294474382997,0.002697521059,-0.019171544034,-0.009425487516,0.087995993678,0.112004006322,0.064283747508,0.135716252492,0.058472636921,0.086094690543,0.086094690543,0.083534699724,12.153795985233,3.258386492108,5.896879146453,9.035504801403,9.035504801403,20.674328101185,11.049963805532,8.141980875038e-08,3.726897798359e-09,4.105112100381e-01,0,0,False,False,False
0.3,0.6,0.5,1200,5,600,600,0.284805846483,0.289195627956,0.280653725492,0.294623388669,0.004389781472,-0.000323040367,-0.008524978536,0.126315097133,0.073684902867,0.080051218172,0.119948781828,0.060653725492,0.108424870198,0.100813480073,0.108424870198,12.405193781393,3.174384584562,6.300828854412,9.307520698306,9.307520698306,20.492168173669,10.875280056826,8.784828206171e-08,3.798060498852e-09,4.866857013437e-01,0,0,False,False,False
0.3,0.35,0.75,1200,5,600,600,0.284805846483,0.282334475696,0.277962874445,0.294572904180,-0.002471370788,0.041457819679,0.023269638080,0.101910619233,0.098089380767,0.060395717649,0.139604282351,0.057962874445,0.069905031734,0.063365359588,0.069905031734,11.850617935740,3.157589940047,7.210951759543,9.068425707890,9.068425707890,22.948441162956,11.307788411491,7.588886294759e-08,3.559777367425e-09,4.311993499583e-01,0,0,True,True,False
0.3,0.45,0.75,1200,5,600,600,0.284805846483,0.286669021384,0.281592755745,0.295366278564,0.001863174901,-0.026466659001,-0.008542960284,0.094087998438,0.105912001562,0.071671339020,0.128328660980,0.061592755745,0.095519044894,0.082383900073,0.095519044894,11.737116578150,3.230877745968,8.795176763225,8.795176763225,8.795176763225,23.055274659896,11.152375167154,8.486328489109e-08,3.664028759300e-09,3.704816175276e-01,0,0,False,False,False
0.3,0.6,0.75,1200,5,600,600,0.284805846483,0.287129106655,0.279661478169,0.292960196130,0.002323260172,0.059168726533,0.018383982504,0.149873120893,0.050126879107,0.070754250385,0.129245749615,0.059661478169,0.106389654633,0.086547272492,0.106389654633,11.447875278881,3.172636536226,8.729679930372,8.974169477833,8.974169477833,22.883583997883,11.346434204309,8.343758959242e-08,3.868208718351e-09,6.459319390219e-01,0,0,False,False,False
0.3,0.35,1.0,1200,5,600,600,0.284805846483,0.285548123239,0.278466751270,0.296041575370,0.000742276756,0.026745666534,-0.026104742418,0.091981603771,0.108018396229,0.072787960427,0.127212039573,0.058466751270,0.078109337823,0.064889235221,0.078109337823,11.381492637819,3.137507972832,10.409316076716,10.409316076716,10.409316076716,26.458346854608,13.275254515568,7.971418398977e-08,3.225631331096e-09,4.188308582330e-01,0,0,True,True,False
0.3,0.45,1.0,1200,5,600,600,0.284805846483,0.284945698170,0.278671389587,0.294957207799,0.000139851687,-0.026484093748,-0.009716303746,0.121814901949,0.078185098051,0.074732841131,0.125267158869,0.058671389587,0.086892291161,0.071397876385,0.086892291161,11.625863337083,3.144899172231,11.094306695407,11.094306695407,11.094306695407,26.401608440774,12.415845082065,7.779786166067e-08,3.258597833369e-09,5.409319074159e-01,0,0,True,True,False
0.3,0.6,1.0,1200,5,600,600,0.284805846483,0.285733221038,0.280452315482,0.293631368683,0.000927374554,0.008959123784,-0.000127512307,0.112700550777,0.087299449223,0.080002207372,0.119997792628,0.060452315482,0.103237868226,0.085097115617,0.103237868226,12.101993281699,3.201970132258,11.810376938211,11.810376938211,11.810376938211,28.390729711918,12.528338234369,8.641622821789e-08,3.892495029912e-09,4.751203210145e-01,0,0,False,False,False
