metric,value
stage,Stage 8.9
test_name,baseline_freeze_manifest
baseline_name,stage08_runtime_safe_adapter_backed_stage07_mixed_baseline
recommended_entrypoint,scripts/stage08_adapter_backed_stage07_recommended_test.py
recommended_command,/usr/bin/python3 scripts/stage08_adapter_backed_stage07_recommended_test.py
runtime_adapter_module,scripts/common/go1_runtime_interface.py
summary_doc,docs/STAGE08_0_7_RUNTIME_INTERFACE_HARDENING_SUMMARY.md
freeze_manifest_doc,docs/STAGE08_BASELINE_FREEZE_MANIFEST.md
control_law_changed,False
baseline_type,mixed_online_control_baseline
active_high_severity_findings_after_refactor,0
pure_wbc_locomotion_completed,False
ros2_cpp_realtime_controller_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
pass,True
