item,value,applied_in_stage1218,allowed_in_future_patch_stage,guard,description
stage12_scope,continuous_torque_streaming_source_patch_design_only,False,True,Stage 12.18 must not edit C++ source and must not add publish calls,Only records the future continuous streaming source patch design.
future_patch_target,ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp,False,True,future source hash must match Stage 12.17 preflight hash before patch,Future source patch target.
future_stage_marker,kStage1219ContinuousTorqueStreamingImplemented = true; kStage1219HardwareDeploymentImplemented = false,False,True,marker must separate continuous dry-run from hardware deployment,Future marker for continuous dry-run source patch.
future_continuous_params,enable_continuous_torque_streaming=false; confirm_continuous_torque_streaming=false,False,True,both params default false; no streaming unless both true,Future continuous streaming manual enable parameters.
future_four_flag_gate,enable_torque_publisher && confirm_torque_publisher_enable && enable_continuous_torque_streaming && confirm_continuous_torque_streaming,False,True,future continuous streaming requires both existing publish flags and both streaming flags,Four-flag gate for future continuous streaming.
future_timer_member,rclcpp::TimerBase::SharedPtr continuous_torque_streaming_timer_,False,True,timer must be cancellable and stopped after duration or flag revert,Future continuous streaming timer member.
future_timer_rate,std::chrono::milliseconds(100); initial dry-run <= 10 Hz,False,True,higher rates require separate later stage,Initial continuous dry-run rate limit.
future_duration_limit,max_streaming_ticks <= 30; max duration <= 3 seconds at 10 Hz,False,True,unbounded streaming forbidden,Initial continuous dry-run duration limit.
future_reuse_single_publish_call,reuse existing bounded publish helper; source publish call count should remain 1,False,True,future source patch should not add a second publish() call unless a separate design change is approved,Future continuous timer should call the existing bounded safe publish helper.
future_streaming_tick_helper,runContinuousTorqueStreamingTickIfAllowed(),False,True,helper returns false and publishes nothing if any gate fails,Future helper called by the timer.
future_message_payload,"Float64MultiArray length=12; all finite; zero/safe torque dry-run first; Go1 order FR,FL,RR,RL hip,thigh,calf",False,True,invalid payload aborts before publish,Future payload contract.
future_safety_chain,watchdogFallbackZeroTorque then clampTorqueCommand before every timer tick publish,False,True,no raw unclamped torque may be published,Future safety chain on every tick.
future_stop_conditions,"stop when tick limit reached, flag reverted, watchdog stale, payload invalid, or controller shutdown",False,True,timer cancel required on every stop path,Future fail-closed stop policy.
future_runtime_evidence,expect bounded message count 1..30; payload length 12; finite; zero/safe; no messages after stop,False,True,missing evidence aborts future streaming implementation stage,Future runtime evidence requirement.
future_no_hardware_rule,simulation/ROS topic dry-run only; hardware deployment remains false,False,True,no hardware interface or actuator bridge enablement,Future stage remains non-hardware.
future_no_control_law_change_rule,"do not modify estimator, MPC, WBC, gait, or baseline control computation",False,True,future diff limited to output gating/timer plumbing,Continuous streaming is not controller completion.
future_abort_conditions,unexpected source hash; publish call count not 1; timer not cancellable; params fail; invalid payload; unexpected message count; controller exits,False,True,future patch script must fail closed,Abort policy for future source patch implementation.
