metric,baseline,candidate,candidate_minus_baseline
initial_z,0.284805846483,0.284805846483,0.0
final_z,0.286030728906,0.284820475299,-0.0012102536070000003
min_z,0.274552192756,0.276975761939,0.002423569182999963
max_z,0.293169864411,0.291199007237,-0.001970857174000029
delta_z,0.001224882422,1.4628816e-05,-0.001210253606
max_abs_roll,0.056707402709,0.102952660101,0.046245257392
max_abs_pitch,0.04832948253,0.053162351948,0.004832869417999999
max_joint_error,0.077233662573,0.0880410083,0.010807345726999998
max_swing_joint_error,0.051395902876,0.060720115471,0.009324212594999999
max_stance_joint_error,0.077233662573,0.0880410083,0.010807345726999998
max_tau_total_abs,9.659563043535,10.019186119959,0.3596230764240005
max_tau_total_raw_abs,9.659563043535,10.019186119959,0.3596230764240005
max_cmd_step_jump_norm,25.788963931985,26.026006701577,0.23704276959200143
max_cmd_step_jump_abs,11.568156828496,11.392386430769,-0.17577039772700154
max_dyn_res_norm,7.732488454756e-08,8.374174656233e-08,6.416862014769991e-09
max_stance_acc_res_norm,3.52089100597e-09,3.77002957988e-09,2.491385739099999e-10
max_swing_acc_error_norm,0.2545718566371,0.3586990349247,0.10412717828759999
qp_fail_steps,0,0,0
saturation_steps,0,0,0
